Value,Correlation,Variable,Reference,Comparison
"Manufacturing, Durable Goods",0.5465,INDSTRY,regional_enteritis,drug_dependence
"Manufacturing, Nondurable Goods",0.5485,INDSTRY,regional_enteritis,drug_dependence
"Transportation, Communications, Utilities",0.5176,INDSTRY,regional_enteritis,drug_dependence
Retail Trade,0.5294,INDSTRY,regional_enteritis,drug_dependence
"Finance, Insurance, Real Estate",0.5016,INDSTRY,regional_enteritis,drug_dependence
Services,0.7289,INDSTRY,regional_enteritis,drug_dependence
"Oil & Gas Extraction, Mining",0.5225,INDSTRY,regional_enteritis,drug_dependence
"Agriculture, Forestry, Fishing",NA,INDSTRY,regional_enteritis,drug_dependence
Construction,0.4105,INDSTRY,regional_enteritis,drug_dependence
Wholesale,0.2358,INDSTRY,regional_enteritis,drug_dependence
Salary Non-union,0.5566,EECLASS,regional_enteritis,drug_dependence
Salary Union,0.4668,EECLASS,regional_enteritis,drug_dependence
Salary Other,0.5037,EECLASS,regional_enteritis,drug_dependence
Hourly Non-union,0.5084,EECLASS,regional_enteritis,drug_dependence
Hourly Union,0.6282,EECLASS,regional_enteritis,drug_dependence
Hourly Other,0.3393,EECLASS,regional_enteritis,drug_dependence
Non-union,0.419,EECLASS,regional_enteritis,drug_dependence
Union,0.5426,EECLASS,regional_enteritis,drug_dependence
Unknown,0.4739,EECLASS,regional_enteritis,drug_dependence
Active Full Time,0.1354,EESTATU,regional_enteritis,drug_dependence
Active Part Time or Seasonal,0.2524,EESTATU,regional_enteritis,drug_dependence
Early Retiree,0.3805,EESTATU,regional_enteritis,drug_dependence
Medicare Eligible Retiree,0.3625,EESTATU,regional_enteritis,drug_dependence
COBRA Continuee,0.2727,EESTATU,regional_enteritis,drug_dependence
Long Term Disability,0.4727,EESTATU,regional_enteritis,drug_dependence
Surviving Spouse/Depend.,0.5197,EESTATU,regional_enteritis,drug_dependence
Other/Unknown,0.2728,EESTATU,regional_enteritis,drug_dependence
Retiree (status unknown),0.2831,EESTATU,regional_enteritis,drug_dependence
"Manufacturing, Durable Goods",0.4429,INDSTRY,regional_enteritis,hypertension
"Manufacturing, Nondurable Goods",0.5502,INDSTRY,regional_enteritis,hypertension
"Transportation, Communications, Utilities",0.7391,INDSTRY,regional_enteritis,hypertension
Retail Trade,0.5911,INDSTRY,regional_enteritis,hypertension
"Finance, Insurance, Real Estate",0.6287,INDSTRY,regional_enteritis,hypertension
Services,0.552,INDSTRY,regional_enteritis,hypertension
"Oil & Gas Extraction, Mining",0.5589,INDSTRY,regional_enteritis,hypertension
"Agriculture, Forestry, Fishing",NA,INDSTRY,regional_enteritis,hypertension
Construction,0.3953,INDSTRY,regional_enteritis,hypertension
Wholesale,0.251,INDSTRY,regional_enteritis,hypertension
Salary Non-union,0.4147,EECLASS,regional_enteritis,hypertension
Salary Union,0.4793,EECLASS,regional_enteritis,hypertension
Salary Other,0.7068,EECLASS,regional_enteritis,hypertension
Hourly Non-union,0.3866,EECLASS,regional_enteritis,hypertension
Hourly Union,0.6285,EECLASS,regional_enteritis,hypertension
Hourly Other,0.4424,EECLASS,regional_enteritis,hypertension
Non-union,0.4692,EECLASS,regional_enteritis,hypertension
Union,0.601,EECLASS,regional_enteritis,hypertension
Unknown,0.5082,EECLASS,regional_enteritis,hypertension
Active Full Time,-0.0568,EESTATU,regional_enteritis,hypertension
Active Part Time or Seasonal,0.133,EESTATU,regional_enteritis,hypertension
Early Retiree,0.4051,EESTATU,regional_enteritis,hypertension
Medicare Eligible Retiree,0.2894,EESTATU,regional_enteritis,hypertension
COBRA Continuee,0.3009,EESTATU,regional_enteritis,hypertension
Long Term Disability,0.2134,EESTATU,regional_enteritis,hypertension
Surviving Spouse/Depend.,0.5179,EESTATU,regional_enteritis,hypertension
Other/Unknown,0.4131,EESTATU,regional_enteritis,hypertension
Retiree (status unknown),0.2769,EESTATU,regional_enteritis,hypertension
"Manufacturing, Durable Goods",0.3785,INDSTRY,regional_enteritis,lipid_metabolism
"Manufacturing, Nondurable Goods",0.5389,INDSTRY,regional_enteritis,lipid_metabolism
"Transportation, Communications, Utilities",0.6829,INDSTRY,regional_enteritis,lipid_metabolism
Retail Trade,0.2901,INDSTRY,regional_enteritis,lipid_metabolism
"Finance, Insurance, Real Estate",0.4966,INDSTRY,regional_enteritis,lipid_metabolism
Services,0.512,INDSTRY,regional_enteritis,lipid_metabolism
"Oil & Gas Extraction, Mining",0.5151,INDSTRY,regional_enteritis,lipid_metabolism
"Agriculture, Forestry, Fishing",NA,INDSTRY,regional_enteritis,lipid_metabolism
Construction,0.2664,INDSTRY,regional_enteritis,lipid_metabolism
Wholesale,0.1865,INDSTRY,regional_enteritis,lipid_metabolism
Salary Non-union,0.4373,EECLASS,regional_enteritis,lipid_metabolism
Salary Union,0.6069,EECLASS,regional_enteritis,lipid_metabolism
Salary Other,0.7865,EECLASS,regional_enteritis,lipid_metabolism
Hourly Non-union,0.5387,EECLASS,regional_enteritis,lipid_metabolism
Hourly Union,0.4946,EECLASS,regional_enteritis,lipid_metabolism
Hourly Other,0.4208,EECLASS,regional_enteritis,lipid_metabolism
Non-union,0.507,EECLASS,regional_enteritis,lipid_metabolism
Union,0.4754,EECLASS,regional_enteritis,lipid_metabolism
Unknown,0.3814,EECLASS,regional_enteritis,lipid_metabolism
Active Full Time,0.1465,EESTATU,regional_enteritis,lipid_metabolism
Active Part Time or Seasonal,0.1212,EESTATU,regional_enteritis,lipid_metabolism
Early Retiree,0.4995,EESTATU,regional_enteritis,lipid_metabolism
Medicare Eligible Retiree,0.2008,EESTATU,regional_enteritis,lipid_metabolism
COBRA Continuee,0.1493,EESTATU,regional_enteritis,lipid_metabolism
Long Term Disability,0.3196,EESTATU,regional_enteritis,lipid_metabolism
Surviving Spouse/Depend.,0.4611,EESTATU,regional_enteritis,lipid_metabolism
Other/Unknown,0.2578,EESTATU,regional_enteritis,lipid_metabolism
Retiree (status unknown),0.3213,EESTATU,regional_enteritis,lipid_metabolism
"Manufacturing, Durable Goods",0.4199,INDSTRY,regional_enteritis,obesity
"Manufacturing, Nondurable Goods",0.5387,INDSTRY,regional_enteritis,obesity
"Transportation, Communications, Utilities",0.4766,INDSTRY,regional_enteritis,obesity
Retail Trade,0.418,INDSTRY,regional_enteritis,obesity
"Finance, Insurance, Real Estate",0.649,INDSTRY,regional_enteritis,obesity
Services,0.5421,INDSTRY,regional_enteritis,obesity
"Oil & Gas Extraction, Mining",0.4902,INDSTRY,regional_enteritis,obesity
"Agriculture, Forestry, Fishing",NA,INDSTRY,regional_enteritis,obesity
Construction,0.3475,INDSTRY,regional_enteritis,obesity
Wholesale,0.2962,INDSTRY,regional_enteritis,obesity
Salary Non-union,0.4164,EECLASS,regional_enteritis,obesity
Salary Union,0.4999,EECLASS,regional_enteritis,obesity
Salary Other,0.6621,EECLASS,regional_enteritis,obesity
Hourly Non-union,0.3408,EECLASS,regional_enteritis,obesity
Hourly Union,0.647,EECLASS,regional_enteritis,obesity
Hourly Other,0.4796,EECLASS,regional_enteritis,obesity
Non-union,0.5374,EECLASS,regional_enteritis,obesity
Union,0.6979,EECLASS,regional_enteritis,obesity
Unknown,0.3485,EECLASS,regional_enteritis,obesity
Active Full Time,0.0149,EESTATU,regional_enteritis,obesity
Active Part Time or Seasonal,0.2903,EESTATU,regional_enteritis,obesity
Early Retiree,0.4338,EESTATU,regional_enteritis,obesity
Medicare Eligible Retiree,0.3654,EESTATU,regional_enteritis,obesity
COBRA Continuee,0.4315,EESTATU,regional_enteritis,obesity
Long Term Disability,0.2971,EESTATU,regional_enteritis,obesity
Surviving Spouse/Depend.,0.6243,EESTATU,regional_enteritis,obesity
Other/Unknown,0.2814,EESTATU,regional_enteritis,obesity
Retiree (status unknown),0.3073,EESTATU,regional_enteritis,obesity
"Manufacturing, Durable Goods",0.3639,INDSTRY,regional_enteritis,schizophrenia
"Manufacturing, Nondurable Goods",0.2223,INDSTRY,regional_enteritis,schizophrenia
"Transportation, Communications, Utilities",0.3442,INDSTRY,regional_enteritis,schizophrenia
Retail Trade,0.408,INDSTRY,regional_enteritis,schizophrenia
"Finance, Insurance, Real Estate",0.5767,INDSTRY,regional_enteritis,schizophrenia
Services,0.4678,INDSTRY,regional_enteritis,schizophrenia
"Oil & Gas Extraction, Mining",0.3786,INDSTRY,regional_enteritis,schizophrenia
"Agriculture, Forestry, Fishing",NA,INDSTRY,regional_enteritis,schizophrenia
Construction,0.6925,INDSTRY,regional_enteritis,schizophrenia
Wholesale,0.1828,INDSTRY,regional_enteritis,schizophrenia
Salary Non-union,0.0716,EECLASS,regional_enteritis,schizophrenia
Salary Union,0.5159,EECLASS,regional_enteritis,schizophrenia
Salary Other,0.589,EECLASS,regional_enteritis,schizophrenia
Hourly Non-union,0.2707,EECLASS,regional_enteritis,schizophrenia
Hourly Union,0.5258,EECLASS,regional_enteritis,schizophrenia
Hourly Other,0.3171,EECLASS,regional_enteritis,schizophrenia
Non-union,0.3781,EECLASS,regional_enteritis,schizophrenia
Union,0.54990000000000006,EECLASS,regional_enteritis,schizophrenia
Unknown,0.5463,EECLASS,regional_enteritis,schizophrenia
Active Full Time,-0.0369,EESTATU,regional_enteritis,schizophrenia
Active Part Time or Seasonal,0.363,EESTATU,regional_enteritis,schizophrenia
Early Retiree,0.319,EESTATU,regional_enteritis,schizophrenia
Medicare Eligible Retiree,0.5161,EESTATU,regional_enteritis,schizophrenia
COBRA Continuee,0.5583,EESTATU,regional_enteritis,schizophrenia
Long Term Disability,0.1927,EESTATU,regional_enteritis,schizophrenia
Surviving Spouse/Depend.,0.3092,EESTATU,regional_enteritis,schizophrenia
Other/Unknown,0.2009,EESTATU,regional_enteritis,schizophrenia
Retiree (status unknown),0.4837,EESTATU,regional_enteritis,schizophrenia
"Manufacturing, Durable Goods",-0.0293,INDSTRY,regional_enteritis,suicide
"Manufacturing, Nondurable Goods",0.2141,INDSTRY,regional_enteritis,suicide
"Transportation, Communications, Utilities",0.0333,INDSTRY,regional_enteritis,suicide
Retail Trade,0.125,INDSTRY,regional_enteritis,suicide
"Finance, Insurance, Real Estate",0.2067,INDSTRY,regional_enteritis,suicide
Services,0.4983,INDSTRY,regional_enteritis,suicide
"Oil & Gas Extraction, Mining",0.4925,INDSTRY,regional_enteritis,suicide
"Agriculture, Forestry, Fishing",NA,INDSTRY,regional_enteritis,suicide
Construction,0.5152,INDSTRY,regional_enteritis,suicide
Wholesale,-0.1158,INDSTRY,regional_enteritis,suicide
Salary Non-union,-0.133,EECLASS,regional_enteritis,suicide
Salary Union,0.2865,EECLASS,regional_enteritis,suicide
Salary Other,0.29,EECLASS,regional_enteritis,suicide
Hourly Non-union,0.0493,EECLASS,regional_enteritis,suicide
Hourly Union,0.4357,EECLASS,regional_enteritis,suicide
Hourly Other,0.0576,EECLASS,regional_enteritis,suicide
Non-union,0.4327,EECLASS,regional_enteritis,suicide
Union,0.4136,EECLASS,regional_enteritis,suicide
Unknown,0.261,EECLASS,regional_enteritis,suicide
Active Full Time,0.109,EESTATU,regional_enteritis,suicide
Active Part Time or Seasonal,0.24,EESTATU,regional_enteritis,suicide
Early Retiree,-0.0242,EESTATU,regional_enteritis,suicide
Medicare Eligible Retiree,0.2854,EESTATU,regional_enteritis,suicide
COBRA Continuee,0.0459,EESTATU,regional_enteritis,suicide
Long Term Disability,0.0438,EESTATU,regional_enteritis,suicide
Surviving Spouse/Depend.,0.0094,EESTATU,regional_enteritis,suicide
Other/Unknown,0.152,EESTATU,regional_enteritis,suicide
Retiree (status unknown),0.255,EESTATU,regional_enteritis,suicide
"Manufacturing, Durable Goods",0.8551,INDSTRY,alcohol_dependence,depression
"Manufacturing, Nondurable Goods",0.64,INDSTRY,alcohol_dependence,depression
"Transportation, Communications, Utilities",0.7076,INDSTRY,alcohol_dependence,depression
Retail Trade,0.6984,INDSTRY,alcohol_dependence,depression
"Finance, Insurance, Real Estate",0.8394,INDSTRY,alcohol_dependence,depression
Services,0.7297,INDSTRY,alcohol_dependence,depression
"Oil & Gas Extraction, Mining",0.6901,INDSTRY,alcohol_dependence,depression
"Agriculture, Forestry, Fishing",-0.02,INDSTRY,alcohol_dependence,depression
Construction,0.7179,INDSTRY,alcohol_dependence,depression
Wholesale,0.4401,INDSTRY,alcohol_dependence,depression
Salary Non-union,0.503,EECLASS,alcohol_dependence,depression
Salary Other,0.4576,EECLASS,alcohol_dependence,depression
Hourly Non-union,0.7302,EECLASS,alcohol_dependence,depression
Hourly Union,0.8218,EECLASS,alcohol_dependence,depression
Hourly Other,0.6669,EECLASS,alcohol_dependence,depression
Non-union,0.766,EECLASS,alcohol_dependence,depression
Union,0.5788,EECLASS,alcohol_dependence,depression
Unknown,0.8231,EECLASS,alcohol_dependence,depression
Salary Union,0.5946,EECLASS,alcohol_dependence,depression
Active Full Time,0.5064,EESTATU,alcohol_dependence,depression
Active Part Time or Seasonal,0.4197,EESTATU,alcohol_dependence,depression
Early Retiree,0.6253,EESTATU,alcohol_dependence,depression
Medicare Eligible Retiree,0.4271,EESTATU,alcohol_dependence,depression
COBRA Continuee,0.323,EESTATU,alcohol_dependence,depression
Long Term Disability,0.4021,EESTATU,alcohol_dependence,depression
Other/Unknown,0.4141,EESTATU,alcohol_dependence,depression
Retiree (status unknown),0.5049,EESTATU,alcohol_dependence,depression
Surviving Spouse/Depend.,0.4027,EESTATU,alcohol_dependence,depression
"Manufacturing, Durable Goods",0.446,INDSTRY,alcohol_dependence,regional_enteritis
"Manufacturing, Nondurable Goods",0.5036,INDSTRY,alcohol_dependence,regional_enteritis
"Transportation, Communications, Utilities",0.299,INDSTRY,alcohol_dependence,regional_enteritis
Retail Trade,0.6199,INDSTRY,alcohol_dependence,regional_enteritis
"Finance, Insurance, Real Estate",0.5765,INDSTRY,alcohol_dependence,regional_enteritis
Services,0.5941,INDSTRY,alcohol_dependence,regional_enteritis
"Oil & Gas Extraction, Mining",0.3645,INDSTRY,alcohol_dependence,regional_enteritis
"Agriculture, Forestry, Fishing",NA,INDSTRY,alcohol_dependence,regional_enteritis
Construction,0.3372,INDSTRY,alcohol_dependence,regional_enteritis
Wholesale,0.2963,INDSTRY,alcohol_dependence,regional_enteritis
Salary Non-union,0.4848,EECLASS,alcohol_dependence,regional_enteritis
Salary Other,0.4483,EECLASS,alcohol_dependence,regional_enteritis
Hourly Non-union,0.4023,EECLASS,alcohol_dependence,regional_enteritis
Hourly Union,0.5145,EECLASS,alcohol_dependence,regional_enteritis
Hourly Other,0.3596,EECLASS,alcohol_dependence,regional_enteritis
Non-union,0.4105,EECLASS,alcohol_dependence,regional_enteritis
Union,0.514,EECLASS,alcohol_dependence,regional_enteritis
Unknown,0.4927,EECLASS,alcohol_dependence,regional_enteritis
Salary Union,0.4816,EECLASS,alcohol_dependence,regional_enteritis
Active Full Time,0.242,EESTATU,alcohol_dependence,regional_enteritis
Active Part Time or Seasonal,0.3047,EESTATU,alcohol_dependence,regional_enteritis
Early Retiree,0.1899,EESTATU,alcohol_dependence,regional_enteritis
Medicare Eligible Retiree,0.3706,EESTATU,alcohol_dependence,regional_enteritis
COBRA Continuee,0.3517,EESTATU,alcohol_dependence,regional_enteritis
Long Term Disability,0.3206,EESTATU,alcohol_dependence,regional_enteritis
Other/Unknown,0.1886,EESTATU,alcohol_dependence,regional_enteritis
Retiree (status unknown),0.3369,EESTATU,alcohol_dependence,regional_enteritis
Surviving Spouse/Depend.,0.3618,EESTATU,alcohol_dependence,regional_enteritis
"Manufacturing, Durable Goods",0.6146,INDSTRY,alcohol_dependence,anxiety
"Manufacturing, Nondurable Goods",0.7071,INDSTRY,alcohol_dependence,anxiety
"Transportation, Communications, Utilities",0.6764,INDSTRY,alcohol_dependence,anxiety
Retail Trade,0.7964,INDSTRY,alcohol_dependence,anxiety
"Finance, Insurance, Real Estate",0.7854,INDSTRY,alcohol_dependence,anxiety
Services,0.6716,INDSTRY,alcohol_dependence,anxiety
"Oil & Gas Extraction, Mining",0.6257,INDSTRY,alcohol_dependence,anxiety
"Agriculture, Forestry, Fishing",NA,INDSTRY,alcohol_dependence,anxiety
Construction,0.8327,INDSTRY,alcohol_dependence,anxiety
Wholesale,0.3487,INDSTRY,alcohol_dependence,anxiety
Salary Non-union,0.5729,EECLASS,alcohol_dependence,anxiety
Salary Other,0.4331,EECLASS,alcohol_dependence,anxiety
Hourly Non-union,0.5988,EECLASS,alcohol_dependence,anxiety
Hourly Union,0.6665,EECLASS,alcohol_dependence,anxiety
Hourly Other,0.7121,EECLASS,alcohol_dependence,anxiety
Non-union,0.7591,EECLASS,alcohol_dependence,anxiety
Union,0.4549,EECLASS,alcohol_dependence,anxiety
Unknown,0.5914,EECLASS,alcohol_dependence,anxiety
Salary Union,0.5688,EECLASS,alcohol_dependence,anxiety
Active Full Time,0.4774,EESTATU,alcohol_dependence,anxiety
Active Part Time or Seasonal,0.2667,EESTATU,alcohol_dependence,anxiety
Early Retiree,0.5987,EESTATU,alcohol_dependence,anxiety
Medicare Eligible Retiree,0.4461,EESTATU,alcohol_dependence,anxiety
COBRA Continuee,0.5298,EESTATU,alcohol_dependence,anxiety
Long Term Disability,0.4079,EESTATU,alcohol_dependence,anxiety
Other/Unknown,0.2411,EESTATU,alcohol_dependence,anxiety
Retiree (status unknown),0.2993,EESTATU,alcohol_dependence,anxiety
Surviving Spouse/Depend.,0.3197,EESTATU,alcohol_dependence,anxiety
"Manufacturing, Durable Goods",0.6907,INDSTRY,alcohol_dependence,bipolar
"Manufacturing, Nondurable Goods",0.495,INDSTRY,alcohol_dependence,bipolar
"Transportation, Communications, Utilities",0.5826,INDSTRY,alcohol_dependence,bipolar
Retail Trade,0.5898,INDSTRY,alcohol_dependence,bipolar
"Finance, Insurance, Real Estate",0.5921,INDSTRY,alcohol_dependence,bipolar
Services,0.6292,INDSTRY,alcohol_dependence,bipolar
"Oil & Gas Extraction, Mining",0.319,INDSTRY,alcohol_dependence,bipolar
"Agriculture, Forestry, Fishing",NA,INDSTRY,alcohol_dependence,bipolar
Construction,0.589,INDSTRY,alcohol_dependence,bipolar
Wholesale,0.2359,INDSTRY,alcohol_dependence,bipolar
Salary Non-union,0.5388,EECLASS,alcohol_dependence,bipolar
Salary Other,0.4894,EECLASS,alcohol_dependence,bipolar
Hourly Non-union,0.517,EECLASS,alcohol_dependence,bipolar
Hourly Union,0.7236,EECLASS,alcohol_dependence,bipolar
Hourly Other,0.4166,EECLASS,alcohol_dependence,bipolar
Non-union,0.7627,EECLASS,alcohol_dependence,bipolar
Union,0.3897,EECLASS,alcohol_dependence,bipolar
Unknown,0.5495,EECLASS,alcohol_dependence,bipolar
Salary Union,0.4551,EECLASS,alcohol_dependence,bipolar
Active Full Time,0.3554,EESTATU,alcohol_dependence,bipolar
Active Part Time or Seasonal,0.4848,EESTATU,alcohol_dependence,bipolar
Early Retiree,0.5526,EESTATU,alcohol_dependence,bipolar
Medicare Eligible Retiree,0.5156,EESTATU,alcohol_dependence,bipolar
